City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Atar,MR,2021-07-28 17:57:37,20.5169,-13.0499,107.47,12,8,13.89
130,Jardim,BR,2021-07-28 17:53:17,-21.4803,-56.1381,65.98,15,35,9.31
131,Florida,US,2021-07-28 17:57:38,28.7505,-82.5001,96.98,66,40,1.01
132,Irituia,BR,2021-07-28 17:57:38,-1.7711,-47.4381,89.94,52,17,3.0
133,Kruisfontein,ZA,2021-07-28 17:57:38,-34.0033,24.7314,54.88,78,100,4.83
134,Cabedelo,BR,2021-07-28 17:57:39,-6.9811,-34.8339,84.87,72,18,14.52
135,Sinnamary,GF,2021-07-28 17:57:39,5.3833,-52.95,82.69,79,31,10.45
136,Cockburn Town,TC,2021-07-28 17:57:39,21.4612,-71.1419,85.96,66,40,16.11
137,Hualmay,PE,2021-07-28 17:57:40,-11.0964,-77.6139,69.67,69,43,11.63
138,Beyneu,KZ,2021-07-28 17:57:40,45.3167,55.2,77.9,25,93,10.98
139,Carnarvon,AU,2021-07-28 17:57:40,-24.8667,113.6333,64.47,65,75,10.36
140,Siquirres,CR,2021-07-28 17:57:41,10.0975,-83.5066,90.88,66,100,4.43
141,Clarence Town,AU,2021-07-28 17:57:41,-32.5833,151.7833,56.86,82,32,8.57
142,Alta Floresta,BR,2021-07-28 17:57:42,-9.8756,-56.0861,93.02,33,0,4.61
143,Camapua,BR,2021-07-28 17:57:42,-19.5314,-54.0439,57.13,25,83,12.01
144,Ostrovnoy,RU,2021-07-28 17:57:42,68.0531,39.5131,45.68,83,100,6.46
145,Coihaique,CL,2021-07-28 17:57:43,-45.5752,-72.0662,44.55,76,75,0.0
146,Maniitsoq,GL,2021-07-28 17:57:43,65.4167,-52.9,46.0,85,39,15.95
147,Khromtau,KZ,2021-07-28 17:57:43,50.2503,58.4347,66.83,43,60,6.26
148,Sayyan,YE,2021-07-28 17:57:44,15.1718,44.3244,68.54,57,91,1.83
149,Ordubad,AZ,2021-07-28 17:57:44,38.9059,46.0234,77.09,77,79,13.29
150,Kudahuvadhoo,MV,2021-07-28 17:57:45,2.6708,72.8944,81.14,77,100,6.73
151,Cidreira,BR,2021-07-28 17:57:45,-30.1811,-50.2056,50.31,62,60,22.26
152,Longyearbyen,SJ,2021-07-28 17:57:46,78.2186,15.6401,42.64,93,90,10.36
153,Sfantu Gheorghe,RO,2021-07-28 17:57:46,45.8667,25.7833,62.56,92,71,0.56
154,Santo Antonio Do Ica,BR,2021-07-28 17:57:46,-3.1022,-67.9397,94.17,41,55,2.75
155,Lebu,CL,2021-07-28 17:53:53,-37.6167,-73.65,55.24,61,0,17.22
156,Ukwa,IN,2021-07-28 17:57:47,21.9667,80.4667,71.24,98,100,5.08
157,Puerto El Triunfo,SV,2021-07-28 17:57:48,13.2833,-88.55,87.96,64,93,7.18
158,Riachao Das Neves,BR,2021-07-28 17:57:48,-11.7461,-44.91,94.77,18,0,2.1
159,Vidalia,US,2021-07-28 17:57:48,32.2177,-82.4135,89.87,62,75,0.0
160,Kangaatsiaq,GL,2021-07-28 17:57:49,68.3065,-53.4641,44.49,88,57,11.61
161,Brae,GB,2021-07-28 17:57:49,60.3964,-1.353,55.31,96,98,11.7
162,Sao Joao De Pirabas,BR,2021-07-28 17:57:50,-0.7747,-47.1772,83.1,72,16,8.81
163,Rawson,AR,2021-07-28 17:57:50,-43.3002,-65.1023,53.08,37,23,12.59
164,Mitu,CO,2021-07-28 17:57:50,1.1983,-70.1733,72.0,98,100,1.32
165,Mana,GF,2021-07-28 17:57:51,5.6592,-53.7767,84.4,69,21,11.43
166,Kampene,CD,2021-07-28 17:57:51,-3.6,26.6667,79.74,39,76,1.23
167,Namibe,AO,2021-07-28 17:57:47,-15.1961,12.1522,65.48,87,3,6.93
168,Klaksvik,FO,2021-07-28 17:57:52,62.2266,-6.589,54.52,94,96,10.13
169,Haileybury,CA,2021-07-28 17:57:52,47.449,-79.6373,76.35,36,80,4.65
170,Kumta,IN,2021-07-28 17:57:52,14.4167,74.4,79.25,84,100,13.35
171,Almansa,ES,2021-07-28 17:57:53,38.8692,-1.0971,80.06,53,0,12.1
172,Kayerkan,RU,2021-07-28 17:57:53,69.3497,87.7602,53.8,85,99,5.57
173,Huarmey,PE,2021-07-28 17:57:53,-10.0681,-78.1522,71.4,69,30,12.44
174,Chamonix-Mont-Blanc,FR,2021-07-28 17:57:54,45.9238,6.8693,71.28,76,5,4.43
175,Sao Felix Do Xingu,BR,2021-07-28 17:57:54,-6.6447,-51.995,98.4,18,0,2.93
176,Pinahat,IN,2021-07-28 17:57:55,26.8839,78.3781,80.8,88,100,6.51
177,Pandharpur,IN,2021-07-28 17:57:55,17.6667,75.3333,75.33,77,100,16.22
178,Barao De Melgaco,BR,2021-07-28 17:57:56,-16.1944,-55.9675,68.52,25,25,9.51
179,Punta Cardon,VE,2021-07-28 17:57:56,11.6581,-70.215,86.05,63,2,15.75
180,Wilmington,US,2021-07-28 17:56:23,34.2257,-77.9447,83.98,83,96,3.0
181,Suratgarh,IN,2021-07-28 17:57:57,29.3167,73.9,89.17,57,100,10.63
182,Vila Franca Do Campo,PT,2021-07-28 17:57:57,37.7167,-25.4333,73.81,80,59,7.81
183,Sheltozero,RU,2021-07-28 17:57:57,61.3667,35.3667,68.5,66,93,3.06
184,Dakoro,NE,2021-07-28 17:57:58,14.5106,6.765,87.67,45,100,5.57
185,Chupa,RU,2021-07-28 17:57:58,66.27,33.0549,60.93,70,19,7.25
186,Harindanga,IN,2021-07-28 17:57:59,22.0383,88.3214,84.18,93,100,22.39
187,Port Elizabeth,ZA,2021-07-28 17:57:59,-33.918,25.5701,57.49,82,40,9.22
188,Fomboni,KM,2021-07-28 17:58:00,-12.28,43.7425,76.98,65,0,14.76
189,Berbera,SO,2021-07-28 17:58:00,10.4396,45.0143,86.94,46,96,24.25
190,Qom,IR,2021-07-28 17:58:00,34.6401,50.8764,95.27,12,2,19.77
191,Tutoia,BR,2021-07-28 17:58:01,-2.7619,-42.2744,87.78,68,16,12.64
192,Rockland,US,2021-07-28 17:58:01,41.1668,-74.0496,82.76,61,22,1.99
193,Olinda,BR,2021-07-28 17:58:01,-8.0089,-34.8553,78.53,69,40,10.36
194,Butterworth,MY,2021-07-28 17:58:02,5.3991,100.3638,86.05,76,20,5.75
195,Bejar,ES,2021-07-28 17:58:02,40.3864,-5.7634,87.58,18,0,9.71
196,Kiruna,SE,2021-07-28 17:58:03,67.8557,20.2251,74.32,43,51,5.75
197,Nchelenge,ZM,2021-07-28 17:58:03,-9.3451,28.734,68.18,52,38,3.02
198,Cienfuegos,CU,2021-07-28 17:58:05,22.1461,-80.4356,91.58,49,40,6.46
199,Bathsheba,BB,2021-07-28 17:58:05,13.2167,-59.5167,77.61,88,75,26.46
200,Andenes,NO,2021-07-28 17:58:05,69.3143,16.1194,54.07,100,90,17.27
201,Madimba,TZ,2021-07-28 17:58:06,-10.4,40.3333,72.72,78,20,13.8
202,Marystown,CA,2021-07-28 17:58:06,47.1666,-55.1483,67.98,81,91,8.61
203,Angoche,MZ,2021-07-28 17:58:07,-16.2325,39.9086,72.25,66,26,9.46
204,Linhares,BR,2021-07-28 17:58:07,-19.3911,-40.0722,92.07,26,0,3.2
205,De Aar,ZA,2021-07-28 17:58:07,-30.6497,24.0123,51.8,36,2,8.39
206,Oranjestad,AW,2021-07-28 17:58:08,12.524,-70.027,84.15,79,40,14.97
207,Krasnoselkup,RU,2021-07-28 17:58:08,65.7,82.4667,46.71,91,29,9.28
208,Rio Verde De Mato Grosso,BR,2021-07-28 17:58:08,-18.9181,-54.8442,61.21,28,90,12.71
209,Arlit,NE,2021-07-28 17:58:09,18.7369,7.3853,100.26,22,16,4.27
210,Caravelas,BR,2021-07-28 17:58:09,-17.7125,-39.2481,80.04,66,0,11.3
211,Ponta Do Sol,PT,2021-07-28 17:58:10,32.6667,-17.1,78.71,72,3,2.08
212,Chipata,ZM,2021-07-28 17:58:10,-13.6333,32.65,59.68,46,62,7.52
213,Ust-Kishert,RU,2021-07-28 17:58:10,57.3654,57.2495,48.7,77,81,4.54
214,Maracaju,BR,2021-07-28 17:53:37,-21.6144,-55.1683,63.25,17,70,14.12
215,Mar Del Plata,AR,2021-07-28 17:56:07,-38.0023,-57.5575,49.08,63,75,11.99
216,Talara,PE,2021-07-28 17:58:11,-4.5772,-81.2719,77.76,61,0,20.71
217,Ler,SS,2021-07-28 17:58:12,8.3018,30.1418,74.7,82,81,4.65
218,Macusani,PE,2021-07-28 17:58:12,-14.0833,-70.4333,48.15,48,45,12.24
219,Santa Vitoria Do Palmar,BR,2021-07-28 17:58:12,-33.5189,-53.3681,46.44,72,95,17.54
220,Fonte Boa,BR,2021-07-28 17:58:13,-2.4959,-66.2662,93.0,42,49,1.48
221,Chadiza,ZM,2021-07-28 17:58:13,-14.0678,32.4392,57.63,61,81,6.71
222,Odweyne,SO,2021-07-28 17:58:14,9.4092,45.064,68.83,64,95,18.81
223,Chichester,GB,2021-07-28 17:58:14,50.8367,-0.78,66.67,78,14,8.99
224,Hurghada,EG,2021-07-28 17:58:14,27.2574,33.8129,96.84,26,0,17.27
225,Cap Malheureux,MU,2021-07-28 17:58:15,-19.9842,57.6142,70.29,82,100,11.01
226,Bognor Regis,GB,2021-07-28 17:58:15,50.7821,-0.6798,66.79,78,9,26.49
227,Stepnyak,KZ,2021-07-28 17:58:15,52.8339,70.7803,55.94,84,57,6.67
228,Paamiut,GL,2021-07-28 17:58:16,61.994,-49.6678,44.02,87,14,10.96
229,Ordzhonikidze,KZ,2021-07-28 17:58:16,52.4411,61.7408,58.69,59,74,8.72
230,Teguise,ES,2021-07-28 17:58:16,29.0605,-13.564,73.62,65,40,19.57
231,Someru,EE,2021-07-28 17:58:17,59.3611,26.4375,68.74,75,75,4.72
232,Urumqi,CN,2021-07-28 17:58:17,43.801,87.6005,79.75,34,0,4.47
233,Chicama,PE,2021-07-28 17:58:18,-7.8447,-79.1469,63.14,59,32,9.91
234,Bayreuth,DE,2021-07-28 17:55:11,49.9481,11.5783,70.9,80,85,1.99
235,Vila Velha,BR,2021-07-28 17:58:18,-20.3297,-40.2925,79.97,65,0,13.8
